Metro,ZIP_code,2015_households_all,2015_same_sex_couples,2015_gay_couples_per_1000_household,2015_bars,2026_bars,2024_households_all,2024_same_sex_couples,2024_gay_couples_per_1000_household
NYC,11579,1954,0,0,0,0,1769,31,17.52402487
NYC,11580,12728,93,7.30672533,0,0,12860,0,0
NYC,11581,6773,34,5.019932083,0,0,7120,50,7.02247191
NYC,11590,14084,56,3.976143141,0,0,15255,68,4.4575549
NYC,11596,3553,4,1.125809175,0,0,3470,33,9.510086455
NYC,11598,3764,0,0,0,0,3753,0,0
NYC,11691,19607,37,1.887081144,0,0,23039,82,3.559182256
NYC,11692,6249,18,2.880460874,0,0,8070,117,14.49814126
NYC,11693,4512,8,1.773049645,0,0,5559,108,19.42795467
NYC,11694,7956,45,5.656108597,0,0,8165,136,16.6564605
NYC,11697,1520,19,12.5,0,0,1870,47,25.13368984
NYC,11709,2410,0,0,0,0,2595,29,11.17533719
NYC,11710,11363,32,2.816157705,0,0,11381,11,0.966523153
NYC,11732,1442,0,0,0,0,1297,31,23.90131072
NYC,11753,4077,26,6.377238165,0,0,3943,0,0
NYC,11756,13459,21,1.560294227,0,0,13732,117,8.520244684
NYC,11765,276,0,0,0,0,257,2,7.782101167
NYC,11771,3480,0,0,0,0,3961,8,2.019691997
NYC,11791,8119,6,0.739007267,0,0,8113,37,4.560581782
NYC,11793,10414,0,0,0,0,10492,34,3.240564239
NYC,11801,12796,37,2.891528603,0,0,12757,96,7.525280238
NYC,06830,9406,0,0,0,0,9480,47,4.957805907
NYC,07001,4974,11,2.211499799,0,0,5615,157,27.96081923
NYC,07002,25474,106,4.161105441,0,0,28951,125,4.317640151
NYC,07003,17479,125,7.15143887,0,0,21215,309,14.56516616
NYC,07008,7790,25,3.209242619,0,0,8230,100,12.15066829
NYC,07010,10473,21,2.005156116,0,0,10609,64,6.032613818
NYC,07011,12601,7,0.555511467,0,0,13771,21,1.524943722
NYC,07012,4654,12,2.578427159,0,0,5595,58,10.36639857
NYC,07013,9931,61,6.142382439,0,0,12193,102,8.365455589
NYC,07014,1768,0,0,0,0,1916,25,13.0480167
NYC,07016,8349,29,3.473469877,0,0,9426,65,6.895820072
NYC,07017,14317,81,5.657609834,0,0,15916,190,11.93767278
NYC,07018,11270,14,1.242236025,0,0,12287,234,19.0445186
NYC,07020,5671,82,14.45953095,0,0,7217,80,11.08493834
NYC,07022,5404,18,3.330866025,0,0,5463,58,10.61687717
NYC,07023,2508,45,17.94258373,0,0,2835,11,3.880070547
NYC,07024,16533,10,0.604850904,0,0,18267,152,8.32101604
NYC,07026,10891,22,2.020016527,0,0,11191,58,5.182736127
NYC,07027,1633,8,4.898958971,0,0,2129,12,5.636449037
NYC,07028,2487,55,22.11499799,0,0,2533,31,12.23845243
